_id,Namespace GID,_key,nid,lid,gid,pid,var,sym,syn.0,syn.1,syn.2,keyword.0,keyword.1,keyword.2,keyword.3,keyword.4,rank,kind,type,format,type-key.type,type-key.terms.0,type-key.terms.1,type-key.terms.2,type-key.terms.3,type-key.terms.4,type-key.terms.5,type-key.terms.6,type-value.type,terms.0,terms.1,terms.2,terms.3,terms.4,terms.5,terms.6,terms.7,terms.8,terms.9,terms.10,terms.11,size.0,size.1,size.2,size.3,regex,range.0,range.1,range.2,range.3,unit,units.0,units.1,deploy,label.ISO:639:3:eng,definition.ISO:639:3:eng,description.ISO:639:3:eng,note.ISO:639:3:eng,example.ISO:639:3:eng,info.0
descriptors/example,:def,example,terms/:def,example,:def:example,,kExample,,example,kExample,,default,example,,,,,:kind:data:qualitative,:type:data:object,:type:format:scalar,:type:value:term,:enum:language,ISO:639:3,ISO:639:2,ISO:639:5,ISO:639:local,GN:language,GEOnet:language,:type:value:html,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Examples,List of examples.,Provide a list of <strong>examples</strong> and <strong>explanations</strong> to to give a summary of the different forms in which the item can be <em>found</em> and <em>provided</em>.,,,
descriptors/domain,:def,domain,terms/:def,domain,:def:domain,,kDomain,,domain,kDomain,,default,domain,,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:type:domain,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Domain,Domain of the current item.,Provide the <strong>domain</strong> to which the current item <strong>belongs</strong>.,,,
descriptors/collection,:def,collection,terms/:def,collection,:def:collection,,kCollection,,collection,kCollection,,default,collection,,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:enum:collection,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Collection,Collection to which the current item belongs.,"<em>User defined objects</em> are stored in <em>collections</em> that <em>group</em> objects by <em>domain</em>. In general, the <em>domain</em> and the <em>collection</em> are <em>related</em>, except that the <em>collection</em> should <em>group</em> objects with <em>similar structures</em>.",,,
descriptors/class,:def,class,terms/:def,class,:def:class,,kClass,,class,kClass,,default,class,,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:enum:class,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Class,Class that applies to the current item.,The class contains the required fields for the current item.,,,
descriptors/store,:def,store,terms/:def,store,:def:store,,kStorage,,store,kStorage,,default,collection,storage,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:type:collection,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Store,Collection storage type.,Provide the storage type of the collection.,,,
descriptors/instance,:def,instance,terms/:def,instance,:def:instance,,kInstance,,instance,kInstance,,default,instance,,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:enum:instance,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Instance,Instance type.,The instance associated with the current item.,This field contains the instance to which the current object refers to.,A data type term is an instance of a data type.,
descriptors/instances,:def,instances,terms/:def,instances,:def:instances,,kInstances,,instances,kInstances,,default,instance,,,,,:kind:data:categorical,:type:value:term,:type:format:set,,,,,,,,,,:enum:instance,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Instances,Object instance types.,All the contexts in which the current object has been instantiated in.,The instances list all instances in which the current object was used.,"A data type term is an instance of a data type, but it is also instantiated as a controlled vocabulary element: the data type instance will be set in the instance field, while the data type and the enumeration element instances will be set in the instances list.",
descriptors/category,:def,category,terms/:def,category,:def:category,,kCategory,,category,kCategory,,default,category,,,,,:kind:data:categorical,:type:value:term,:type:format:set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Category,"Category, group or classification.","<p>This field is used as a <strong>category</strong>, <strong>group</strong> or <strong>classification</strong>.</p>
<p>If <em>provided</em> in <em>terms</em> that <em>define</em> a <em>controlled vocabulary</em>, it will be used as the <em>choice list</em> for the <em>branch state field</em> in <em>edge branch elements</em>.</p>","When inserting new elements of an enumeration, this field is used to provide the choice list for the branch type field in edge branch structures. As the <em>enumeration</em> is <em>traversed</em>, the <em>destination node</em> is probed for this field, if it has it, the <em>branch type field</em> will be made available with the enumeration held in this field: the <em>selected value</em> will be the <em>category</em> of the <em>source node</em>.",,
descriptors/attributes,:def,attributes,terms/:def,attributes,:def:attributes,,kAttributes,,attributes,kAttributes,,default,attribute,,,,,:kind:data:categorical,:type:value:term,:type:format:set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Attributes,Attributes and qualifiers.,"Generic <em>attributes</em> and <em>qualifiers</em>, is generally part of a structure and applies to the current element.",,,
descriptors/info,:def,info,terms/:def,info,:def:info,,kInfo,,info,kInfo,,default,reference,information,,,,:kind:data:discrete,:type:value:url,:type:format:set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,References,Information references.,This field contains a <em>link</em> to an <em>internet resource</em> that provides <em>reference</em> information about the current item.,,,
descriptors/schema,:def,schema,terms/:def,schema,:def:schema,,kSchema,,schema,kSchema,,default,reference,schema,,,,:kind:data:discrete,:type:value:url,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Schema,Reference to schema.,This field contains a <em>link</em> to an <em>internet resource</em> that provides the <em>schema</em> or <em>structure</em> of the current item.,,,
descriptors/latitude,:def,latitude,terms/:def,latitude,:def:latitude,,kLatitude,,latitude,kLatitude,,default,latitude,,,,,:kind:data:discrete,:type:data:numeric,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,-90.0,90.0,TRUE,TRUE,,,,:state:application:default,Latitude,Latitude in decimal degrees.,,,,
descriptors/longitude,:def,longitude,terms/:def,longitude,:def:longitude,,kLongitude,,longitude,kLongitude,,default,longitude,,,,,:kind:data:discrete,:type:data:numeric,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,-180.0,180.0,TRUE,TRUE,,,,:state:application:default,Longitude,Longitude in decimal degrees.,,,,
descriptors/shape,:def,shape,terms/:def,shape,:def:shape,,kShape,,shape,kShape,,default,shape,,,,,:kind:data:discrete,:type:value:geojson,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Shape,Shape or coordinates of the item.,This field holds a <em><a href='http://geojson.org/'>GeoJSON</a></em> structure that provides information about the <em>geometry</em> and <em>geographic position</em> of the current item.,,,
descriptors/branches,:edge,branches,terms/:edge,branches,:edge:branches,,kBranches,,branches,kBranches,,default,graph,branch,,,,:kind:data:categorical,:type:value:ref:id,:type:format:set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Relationship branches,List of branches passing through the current edge.,This field contains the <strong>set</strong> of <strong>branches</strong> <strong>passing through</strong> the current <strong>edge</strong>. It is a <em>set</em> of the <em>root nodes</em> for all <em>structures traversing the edge</em>.,,,
descriptors/modifiers,:edge,modifiers,terms/:edge,modifiers,:edge:modifiers,,kModifiers,,modifiers,kModifiers,,default,graph,branch,modifier,,,:kind:data:discrete,:type:data:object,:type:format:scalar,:type:value:ref:id,,,,,,,,:type:data:struct,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Relationship branch,Relationship edge branch identifier.,"This field is a <em>structure</em> in which the <em>key</em> is the <em>edge branch identifier</em>, <code>_id</code>, and the <em>value</em> is a <em>structure</em> containing the <em>modifier fields</em> that <em>apply to the specific branch.</em>",,,
descriptors/cdate,:stat,cdate,terms/:stat,cdate,:stat:cdate,,kCDate,,cdate,kCDate,,default,creation,date,,,,:kind:data:discrete,:type:value:date,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Creation date,Date created.,,,,
descriptors/cstamp,:stat,cstamp,terms/:stat,cstamp,:stat:cstamp,,kCStamp,,cstamp,kCStamp,,default,creation,date,timestamp,,,:kind:data:discrete,:type:value:stamp,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Creation time,Date and time of creation.,,,,
descriptors/mdate,:stat,mdate,terms/:stat,mdate,:stat:mdate,,kMDate,,mdate,kMDate,,default,modification,date,,,,:kind:data:discrete,:type:value:date,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Modification date,Last modification date.,,,,
descriptors/mstamp,:stat,mstamp,terms/:stat,mstamp,:stat:mstamp,,kMStamp,,mstamp,kMStamp,,default,modification,date,timestamp,,,:kind:data:discrete,:type:value:stamp,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Modification time,Last modification date and time.,,,,
descriptors/edate,:stat,edate,terms/:stat,edate,:stat:edate,,kEDate,,edate,kEDate,,default,validation,enabled,date,,,:kind:data:discrete,:type:value:date,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Validation date,Date in which the item was validated.,,,,
descriptors/tdate,:stat,tdate,terms/:stat,tdate,:stat:tdate,,kTDate,,tdate,kTDate,,default,termination,date,,,,:kind:data:discrete,:type:value:date,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Termination date,Date in which the item was terminated.,,,,
descriptors/doc_desc,:stat,doc_desc,terms/:stat,doc_desc,:stat:doc_desc,,kDocDesc,,doc_desc,kDocDesc,,default,document,descriptor,instance,,,:kind:data:discrete,:type:data:object,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Document descriptor instances,Descriptor instances in documents.,"<p>This field is managed by the system and automatically updated whenever a document is inserted and updated, it keeps track of all value descriptors in the document. It is a structure organised as follows:</p>
<p><code>{ leaf: [path, ... path], ... }</code></p>
<p>The <code>leaf</code> represents the attribute name of descriptors that are <em>not structures</em>, if we imagine an object as a tree structure, the leaf represents the leaf nodes of the tree. The <code>path</code> represents all instances of the <code>leaf</code> in the document with the full path to the leaf expressed as the structure names separated by a <code>.</code>For instance, in the path <code>a.b.c</code>,  <code>c</code> is the leaf and <code>a.b</code> is the path to that leaf.</p>
<p><strong><em>This field is only present in documents stored in user created collections.</em></strong></p>",,,
descriptors/col_desc,:stat,col_desc,terms/:stat,col_desc,:stat:col_desc,,kColDesc,,col_desc,kColDesc,,default,collection,descriptor,instance,,,:kind:data:discrete,:type:data:object,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Collection descriptor instances,Descriptor instances in collections.,<p>This field is stored in terms that represent user defined collections. It is managed by the system and automatically updated whenever a document is inserted and updated. It keeps track of the distinct structures of all documents stored in the collection. It is a list of unique strings in the form <code>a.b.c</code> in which all field instance paths are subdivided by attribute name separated by a <code>.</code> This field is used to collect all encountered structures in the collection.</p><p><strong><em>This field is only managed in user created collections.</em></strong></p>,,,
descriptors/db_desc,:stat,db_desc,terms/:stat,db_desc,:stat:db_desc,,kDbDesc,,db_desc,kDbDesc,,default,global,descriptor,instance,,,:kind:data:discrete,:type:data:object,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:default,Global descriptor instances,Descriptor instances in the database.,"<p>This field is stored in user defined descriptors, it is managed by the system and automatically updated whenever a document is inserted and updated. It keeps track of all instances of the descriptor in the database and is structured as follows:</p>
<p><code>{count: N, tree: {path: N}}</code></p>
<p>The <code>count</code> represents the total number of the descriptor instances.</p>
<p>The <code>tree</code> contains all distinct <code>path</code> instances.</p>
<p>The <code>path</code> represents all instances of the descriptor in any document with the full path to the descriptor expressed as the structure names separated by a ""<code>.</code>"". For instance, in the path <code>a.b.c</code>,  ""<code>c</code>"" is the leaf and ""<code>a.b</code>"" is the path to that leaf. This value is used as the attribute name and the attribute value represents the count of descriptor instances using that particular path; the sum of all counts will be equal to the <code>count</code> value.</p>
<p><strong><em>This field is only present in documents stored in user created collections.</em></strong></p>",,,
descriptors/STD_region,STD,STD_region,terms/STD,region,STD:region,,kStd_Region,,STD_region,kStd_Region,,standard,region,,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,GN:continent,WB:region,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Region,,,,,
descriptors/STD_country,STD,STD_country,terms/STD,country,STD:country,,kStd_Country,,STD_country,kStd_Country,,standard,country,,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,ISO:3166:1,ISO:3166:3,WB:country,FIPS:poli,GEOnet:political,,,,,,,,,,,,,,,,,,,,:state:application:standard,Country,,,,,
descriptors/STD_language,STD,STD_language,terms/STD,language,STD:language,,kStd_Language,,STD_language,kStd_Language,,standard,language,,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,:enum:language,ISO:639:3,ISO:639:2,ISO:639:5,ISO:639:local,GN:language,GEOnet:language,,,,,,,,,,,,,,,,,,:state:application:standard,Language,,,,,
descriptors/STD_languages,STD,STD_languages,terms/STD,languages,STD:languages,,kStd_Languages,,STD_languages,kStd_Languages,,standard,language,,,,,:kind:data:categorical,:type:value:term,:type:format:set,,,,,,,,,,:enum:language,ISO:639:3,ISO:639:2,ISO:639:5,ISO:639:local,GN:language,GEOnet:language,,,,,,,,,,,,,,,,,,:state:application:standard,Languages,,,,,
descriptors/STD_currency,STD,STD_currency,terms/STD,currency,STD:currency,,kStd_Currency,,STD_currency,kStd_Currency,,standard,currency,,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,ISO:4217,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Currency,,,,,
descriptors/STD_currencies,STD,STD_currencies,terms/STD,currencies,STD:currencies,,kStd_Currencies,,STD_currencies,kStd_Currencies,,standard,currency,,,,,:kind:data:categorical,:type:value:term,:type:format:set,,,,,,,,,,ISO:4217,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Currencies,,,,,
descriptors/STD_sex,STD,STD_sex,terms/STD,sex,STD:sex,,kStd_Sex,,STD_sex,kStd_Sex,,standard,sex,,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,STD:sex,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Sex,,,,,
descriptors/STD_birthdate,STD,STD_birthdate,terms/STD,birthdate,STD:birthdate,,kStd_Birthdate,,STD_birthdate,kStd_Birthdate,,standard,birth,date,,,,:kind:data:discrete,:type:value:date,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Birth date,Date of birth.,The date may omit the day or the month and day.,,,
descriptors/STD_age_years,STD,STD_age_years,terms/STD,age-years,STD:age-years,,kStd_AgeYears,,STD_age_years,kStd_AgeYears,,standard,age,year,,,,:kind:data:quantitative,:type:value:int,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:type:unit:age:y,,,:state:application:standard,Years of age,Age in years.,,,,
descriptors/STD_age_months,STD,STD_age_months,terms/STD,age-months,STD:age-months,,kStd_AgeMonths,,STD_age_months,kStd_AgeMonths,,standard,age,month,,,,:kind:data:discrete,:type:value:int,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:type:unit:age:m,,,:state:application:standard,Months of age,Age in months.,,,,
descriptors/STD_age_days,STD,STD_age_days,terms/STD,age-days,STD:age-days,,kStd_AgeDays,,STD_age_days,kStd_AgeDays,,standard,age,day,,,,:kind:data:discrete,:type:value:int,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:type:unit:age:d,,,:state:application:standard,Days of age,Age in days.,,,,
descriptors/STD_avail_data,STD:avail,STD_avail_data,terms/STD:avail,data,STD:avail:data,,kStdAvail_Data,,STD_avail_data,kStdAvail_Data,dataavailability,standard,available,data,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,STD:avail,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Data available,Availability of data.,,,,
descriptors/STD_avail_meta,STD:avail,STD_avail_meta,terms/STD:avail,meta,STD:avail:meta,,kStdAvail_Meta,,STD_avail_meta,kStdAvail_Meta,metadataavailability,standard,available,metadata,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,STD:avail,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Metadata available,Availability of metadata.,,,,
descriptors/STD_geo_location,STD:geo,STD_geo_location,terms/STD:geo,location,STD:geo:location,,kStdGeo_Location,,STD_geo_location,kStdGeo_Location,,standard,geography,location,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,GN:continent,ISO:3166:1,ISO:3166:3,WB:region,WB:country,FIPS:poli,GEOnet:political,ISO:3166:2,FIPS:admin,GN:admin,GEOnet:ADM1,,,,,,,,,,,,,,:state:application:standard,Location,Geographic or administrative location.,,,,
descriptors/STD_geo_locations,STD:geo,STD_geo_locations,terms/STD:geo,locations,STD:geo:locations,,kStdGeo_Locations,,STD_geo_locations,kStdGeo_Locations,,standard,geography,location,,,,:kind:data:categorical,:type:value:term,:type:format:set,,,,,,,,,,GN:continent,ISO:3166:1,ISO:3166:3,WB:region,WB:country,FIPS:poli,GEOnet:political,ISO:3166:2,FIPS:admin,GN:admin,GEOnet:ADM1,,,,,,,,,,,,,,:state:application:standard,Locations,Geographic or administrative locations.,,,,
descriptors/STD_geo_location_names,STD:geo,STD_geo_location_names,terms/STD:geo,location-names,STD:geo:location-names,,kStdGeo_LocationNames,,STD_geo_location_names,kStdGeo_LocationNames,,standard,geography,location,,,,:kind:data:categorical,:type:value:str,:type:format:set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Locations,Geographic or administrative location names.,,,,
descriptors/STD_geo_politic,STD:geo,STD_geo_politic,terms/STD:geo,politic,STD:geo:politic,,kStdGeo_Politic,,STD_geo_politic,kStdGeo_Politic,,standard,geography,political,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,ISO:3166:1,ISO:3166:3,WB:region,WB:country,FIPS:poli,GEOnet:political,,,,,,,,,,,,,,,,,,,:state:application:standard,Geopolitical enttity,"Countries, dependencies, and areas of special sovereignty.",,,,
descriptors/STD_geo_admin,STD:geo,STD_geo_admin,terms/STD:geo,admin,STD:geo:admin,,kStdGeo_Admin,,STD_geo_admin,kStdGeo_Admin,,standard,geography,administrative unit,,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,ISO:3166:2,FIPS:admin,GN:admin,GEOnet:ADM1,WB:region,,,,,,,,,,,,,,,,,,,,:state:application:standard,Geographic administrative division,,,,,
descriptors/STD_geo_class,STD:geo,STD_geo_class,terms/STD:geo,class,STD:geo:class,,kStdGeo_Class,,STD_geo_class,kStdGeo_Class,,standard,geography,feature,class,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,FIPS:class,GN:fclass,GEOnet:FC,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Feature class,Geographic feature class.,,,,
descriptors/STD_geo_type,STD:geo,STD_geo_type,terms/STD:geo,type,STD:geo:type,,kStdGeo_Type,,STD_geo_type,kStdGeo_Type,,standard,geography,feature,type,,,:kind:data:categorical,:type:value:term,:type:format:scalar,,,,,,,,,,ISO:3166:type,FIPS:type,GN:ftype,GEOnet:DSG,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Feature type,Geographic feature type.,,,,
descriptors/STD_geo_DEG,STD:geo,STD_geo_DEG,terms/STD:geo,DEG,STD:geo:DEG,,kStdGeo_Deg,,STD_geo_DEG,kStdGeo_Deg,,standard,geography,decimal,degrees,,,:kind:data:discrete,:type:data:numeric,:type:format:list,,,,,,,,,,,,,,,,,,,,,,2,2,TRUE,TRUE,,,,,,,,,:state:application:standard,Coordinate (DEG),"Geographic coordinates as an array of two elements, respectively the longitude and latitude in decimal degrees format. ",,,,
descriptors/STD_geo_DMS,STD:geo,STD_geo_DMS,terms/STD:geo,DMS,STD:geo:DMS,,kStdGeo_Dms,,STD_geo_DMS,kStdGeo_Dms,,standard,geography,degrees,,,,:kind:data:discrete,:type:value:str,:type:format:list,,,,,,,,,,,,,,,,,,,,,,2,2,TRUE,TRUE,,,,,,,,,:state:application:standard,Coordinate (DMS),"Geographic coordinates as an array of two elements, respectively the longitude and latitude in degrees, minutes and seconds format. ",,,,
descriptors/STD_geo_MGRS,STD:geo,STD_geo_MGRS,terms/STD:geo,MGRS,STD:geo:MGRS,,kStdGeo_Mgrs,,STD_geo_MGRS,kStdGeo_Mgrs,,standard,geography,MGRS,,,,:kind:data:discrete,:type:value:str,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Coordinate (MGRS),Military Grid Reference System coordinates.,,,,
descriptors/STD_geo_JOG,STD:geo,STD_geo_JOG,terms/STD:geo,JOG,STD:geo:JOG,,kStdGeo_Jog,,STD_geo_JOG,kStdGeo_Jog,,standard,geography,JOG,,,,:kind:data:categorical,:type:value:str,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Joint Operations Graphics,Joint Operation Graphics code.,,,,
descriptors/STD_geo_area,STD:geo,STD_geo_area,terms/STD:geo,area,STD:geo:area,,kStdGeo_Area,,STD_geo_area,kStdGeo_Area,,standard,geography,area,,,,:kind:data:quantitative,:type:data:numeric,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:type:unit:area:km,,,:state:application:standard,Area,Area in square kilometers.,,,,
descriptors/STD_geo_population,STD:geo,STD_geo_population,terms/STD:geo,population,STD:geo:population,,kStdGeo_Population,,STD_geo_population,kStdGeo_Population,,standard,geography,population,,,,:kind:data:quantitative,:type:value:int,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Population,,,,,
descriptors/STD_geo_elevation,STD:geo,STD_geo_elevation,terms/STD:geo,elevation,STD:geo:elevation,,kStdGeo_Elevation,,STD_geo_elevation,kStdGeo_Elevation,,standard,geography,elevation,,,,:kind:data:quantitative,:type:value:int,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:type:unit:length:m,,,:state:application:standard,Elevation,Altitude in meters.,,,,
descriptors/STD_geo_DEM,STD:geo,STD_geo_DEM,terms/STD:geo,DEM,STD:geo:DEM,,kStdGeo_Dem,,STD_geo_DEM,kStdGeo_Dem,,standard,geography,elevation,interpolated,,,:kind:data:quantitative,:type:value:int,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:type:unit:length:m,,,:state:application:standard,Elevation (DEM),Altitude interpolated from digital elevation model.,,,,
descriptors/STD_nom_tzone,STD:nom,STD_nom_tzone,terms/STD:nom,tzone,STD:nom:tzone,,kStdNom_Tzone,,STD_nom_tzone,kStdNom_Tzone,,standard,time zone,,,,,:kind:data:categorical,:type:value:str,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Time zone,IANA time-zone.,,,,
descriptors/STD_nom_tel_code,STD:nom,STD_nom_tel_code,terms/STD:nom,tel_code,STD:nom:tel_code,,kStdNom_Tel_Code,,STD_nom_tel_code,kStdNom_Tel_Code,,standard,telephone,,,,,:kind:data:categorical,:type:value:str,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Area code,Telephone area code.,,,,
descriptors/STD_nom_post_code,STD:nom,STD_nom_post_code,terms/STD:nom,post_code,STD:nom:post_code,,kStdNom_Post_Code,,STD_nom_post_code,kStdNom_Post_Code,,standard,postal,code,,,,:kind:data:categorical,:type:value:str,:type:format:set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Postal codes,List of postal codes.,,,,
descriptors/STD_nom_post_format,STD:nom,STD_nom_post_format,terms/STD:nom,post_format,STD:nom:post_format,,kStdNom_Post_Format,,STD_nom_post_format,kStdNom_Post_Format,,standard,postal,format,,,,:kind:data:discrete,:type:value:str,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Postal code format,Format of the postal code.,,,,
descriptors/STD_nom_post_regex,STD:nom,STD_nom_post_regex,terms/STD:nom,post_regex,STD:nom:post_regex,,kStdNom_Post_Regex,,STD_nom_post_regex,kStdNom_Post_Regex,,standard,postal,regex,,,,:kind:data:discrete,:type:value:str,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Postal code regex,Regular expression for postal code.,,,,
descriptors/STD_nam_type,STD:nam,STD_nam_type,terms/STD:nam,type,STD:nam:type,,kStdNam_Type,,STD_nam_type,kStdNam_Type,,standard,name,type,,,,:kind:data:categorical,:type:value:term,:type:format:set,,,,,,,,,,GN:ntype,GEOnet:NT,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Name type,Name attributes and classification.,,,,
descriptors/STD_date_start,STD,STD_date_start,terms/STD,date-start,STD:date-start,,kStd_DateStart,,STD_date_start,kStd_DateStart,,standard,date,start,,,,:kind:data:discrete,:type:value:date,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Start date,Starting date.,,,,
descriptors/STD_date_end,STD,STD_date_end,terms/STD,date-end,STD:date-end,,kStd_DateEnd,,STD_date_end,kStd_DateEnd,,standard,date,end,,,,:kind:data:discrete,:type:value:date,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,End date,Ending date.,,,,
descriptors/STD_agency,STD,STD_agency,terms/STD,agency,STD:agency,,kStd_Agency,,STD_agency,kStd_Agency,,standard,agency,name,,,,:kind:data:discrete,:type:value:str,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Agency,Code or name of agency.,,,,
descriptors/STD_stat_PCFLAGS,STD:stat,STD_stat_PCFLAGS,terms/STD:stat,PCFLAGS,STD:stat:PCFLAGS,,kStdStat_Pcflags,,STD_stat_PCFLAGS,kStdStat_Pcflags,PCFLAGS,standard,statistics,outliers,,,,:kind:data:quantitative,:type:data:numeric,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Subjects out of range,Percentage of records with subjects out of range.,,,,
descriptors/STD_stat_PCSEXRAT,STD:stat,STD_stat_PCSEXRAT,terms/STD:stat,PCSEXRAT,STD:stat:PCSEXRAT,,kStdStat_Pcsexrat,,STD_stat_PCSEXRAT,kStdStat_Pcsexrat,PCSEXRAT,standard,statistics,sex,ratio,,,:kind:data:quantitative,:type:data:numeric,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Sex ratio Chi,P value of Chi squared for sex ratio.,,,,
descriptors/STD_stat_PCAGERAT,STD:stat,STD_stat_PCAGERAT,terms/STD:stat,PCAGERAT,STD:stat:PCAGERAT,,kStdStat_Pcagerat,,STD_stat_PCAGERAT,kStdStat_Pcagerat,PCAGERAT,standard,statistics,age,ratio,,,:kind:data:quantitative,:type:data:numeric,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Age ratio Chi,P value of Chi squared for age ratio.,,,,
descriptors/STD_stat_PCDPWT,STD:stat,STD_stat_PCDPWT,terms/STD:stat,PCDPWT,STD:stat:PCDPWT,,kStdStat_Pcdpwt,,STD_stat_PCDPWT,kStdStat_Pcdpwt,PCDPWT,standard,statistics,weight,digit preference,ratio,,:kind:data:quantitative,:type:data:numeric,:type:format:scalar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:state:application:standard,Weight digit preference,Digit preference score for weight.,,,,
